County Name,City,Location Name,Location URL,Location Address,Location Number,Location Email ,Notes/Status
Adams County,,,,,,,
,Othello,Columbia Basin Health Assoc - OTHELLO CLINIC,,"1515 E. Columbia St|Othello, WA 99344|",(509) 488-5256,,
,Othello,OTHELLO COMMUNITY HOSPITAL,https://www.othellocommunityhospital.org/,"315 N 14th ave|Othello, WA 99344",,kissleb@othellocommunityhospital.org,High availability
,Ritzville,East Adams Rural Healthcare - Ritzville Medical Clinic,,"903 S Adams St|Ritzville, WA 99169|",(509) 659-1200,Jpepperd@earh.org,Please call for instructions
Asotin County,,,,,,,
,Clarkston,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctx9xpqe/?&e_id=4985,"301 FIFTH STREET|Clarkston, WA 99403",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Clarkston,TRI-STATE MEMORIAL HOSPITAL,https://tristatehospital.org/,"1221 Highland Ave|Clarkston, WA 99403|",(509) 769-2215,covidvaccineteam@tsmh.org,email/covid hotline
Benton County,,,,,,,
,Kennewick,Benton County Fairgrounds,https://prepmod.doh.wa.gov/,"1500 S Oak St|Kennewick, WA 99336",,,"This is a DOH Mass Vaccination Site. Vaccine by appointment only. The fastest way to get an appointment is to go online to schedule one. If you are unable to use the online tool you can call us at 1-800-525-0127.
Only people living or working in Washington are eligible for vaccination at this site.  Please bring a picture ID; a letter or statement that shows your Washington address; or a voucher from your employer, health care provider, religious institution, school or other official agency that shows you live or work in Washington."
,Kennewick,Costco Pharmacy,https://book-costcopharmacy.appointment-plus.com/ctxbqvnc/?&e_id=4973,"8505 WEST GAGE BLVD|Kennewick, WA 99336",,,"Appointments are required.  Please schedule on our link.  If there are no dates listed, all appointments have been filled.  Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Kennewick,"Fred Meyer Stores, Kennewick",https://www.fredmeyer.com/rx/guest/get-vaccinated,"2811 W 10th Ave|Kennewick, WA 99336|",509-735-8733,,we have vaccines available
,Kennewick,ON SCENE MEDICAL SERVICES,https://www.onscenemed.com/,"7511 West Arrowhead Ave. STE G|Kennewick, WA 99336",,Info@onscenemed.com,
,Kennewick,SAFEWAY #27-0335,https://kordinator.mhealthcoach.net/vcl/SafewayPharmacyKennewick,"2825 W Kennewick Ave|Kennewick, WA 99336",,,"Appointments are required. If there are no dates listed, all appointments have been filled. Please check back at a later date.  Please do not call the pharmacy to inquire about additional dates.  The website will be updated as we receive additional vaccine doses."
,Prosser,PMH MEDICAL CENTER,https://www.prosserhealth.org/,"723 Memorial Street|Prosser, WA 99350|",509-788-6035,connect@prosserhealth.org,
